date,close,deviation60Pct,signal60,deviation200Pct,signal200,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
1991-10-23,208.25,15.948421,,38.928282,top,3.852789,16.047603,38.761975,17.406963,0.87395
1991-10-24,210.07,16.185271,,39.529128,top,3.980277,15.91501,38.064396,17.251392,0.852097
1991-10-25,211.86,16.400918,,40.104943,top,4.096925,15.963788,37.219162,17.3086,1.000661
1991-10-28,213.98,16.761483,,40.821494,top,4.02573,15.89726,36.379506,17.230582,0.8412
1991-10-29,215.78,16.964755,,41.374753,top,4.028427,15.901153,35.567806,17.235147,0.301233
1991-10-30,216.43,16.642583,,41.387898,top,4.715407,16.575953,35.455191,18.028924,1.002634
1991-10-31,218.6,17.014801,top,42.091202,top,4.61727,16.319345,34.62595,17.726441,0.969808
1991-11-01,220.72,17.352833,top,42.755466,top,4.647471,16.224705,34.485748,17.615078,0.928779
1991-11-04,222.77,17.64913,top,43.372888,top,4.725634,16.292958,33.635039,17.695381,0.84392
1991-11-05,224.65,17.861776,top,43.898852,top,4.844035,16.446895,32.98048,17.876697,0.992655
1991-11-06,226.88,18.218757,top,44.563616,top,4.224552,15.821003,32.091896,17.14122,0.903561
1991-11-07,228.93,18.486881,top,45.13221,top,3.65408,15.255816,31.355339,16.48102,1.000306
1991-11-08,231.22,18.848444,top,45.787986,top,2.99509,15.264201,30.659643,16.490788,1.007698
1991-11-11,233.55,19.214832,top,46.442283,top,2.982274,14.602527,29.828717,15.722543,0.963391
1991-11-12,235.8,19.533977,top,47.044546,top,2.694498,14.615808,29.136485,15.737913,0.368957
1991-11-13,236.67,19.273004,top,47.052906,top,3.254854,14.540239,29.043528,15.650484,0.329573
1991-11-14,237.45,18.983932,top,47.019097,top,3.663383,14.466626,28.717658,15.565382,0.336913
1991-11-15,238.25,18.713143,top,46.989686,top,4.224302,15.069696,28.570741,16.264428,0.994753
1991-11-18,240.62,19.09364,top,47.605632,top,4.163623,14.386247,28.410157,15.472529,0.673261
1991-11-19,242.24,19.159244,top,47.897173,top,4.334193,14.01352,27.767302,15.042933,0.932959
1991-11-20,244.5,19.481482,top,48.442134,top,4.381139,13.382276,32.119398,14.319018,0.740286
1991-11-21,246.31,19.61523,top,48.793652,top,4.384612,12.880566,32.941794,13.746904,0.901303
1991-11-22,248.53,19.908298,top,49.300991,top,4.357842,12.928245,33.661018,13.801151,0.933489
1991-11-25,250.85,20.232171,top,49.836062,top,4.421428,12.991213,36.010934,13.872832,0.845127
1991-11-26,252.97,20.469272,top,50.27941,top,4.574168,12.348984,35.422105,13.143851,0.980353
