date,status,exchanges,id,label,estimatedNetFlowCny,estimatedNetFlowYi,grossInflowYi,grossOutflowYi,funds,pricedFunds,excludedRecords
2012-01-05,partial,SSE,all-a,全A,261368600,2.6137,2.8264,-0.2127,22,22,0
2012-01-05,partial,SSE,broad,宽基,276187600,2.7619,2.7619,0,7,7,0
2012-01-05,partial,SSE,industry,行业,-11446000,-0.1145,0.0032,-0.1177,7,7,0
2012-01-05,partial,SSE,strategy,策略,-3373000,-0.0337,0.0613,-0.095,8,8,0
2012-01-05,partial,SSE,commodity-other,其他商品,0,0,0,0,1,1,0
2012-01-06,partial,SSE,all-a,全A,113457700,1.1346,2.1144,-0.9798,22,22,0
2012-01-06,partial,SSE,broad,宽基,152594000,1.5259,2.0642,-0.5382,7,7,0
2012-01-06,partial,SSE,industry,行业,-41026800,-0.4103,0.0149,-0.4252,7,7,0
2012-01-06,partial,SSE,strategy,策略,1890500,0.0189,0.0353,-0.0164,8,8,0
2012-01-06,partial,SSE,commodity-other,其他商品,-1024000,-0.0102,0,-0.0102,1,1,0
2012-01-09,partial,SSE,all-a,全A,-706990300,-7.0699,0.1454,-7.2153,22,22,0
2012-01-09,partial,SSE,broad,宽基,-678468000,-6.7847,0,-6.7847,7,7,0
2012-01-09,partial,SSE,industry,行业,-7189300,-0.0719,0.1091,-0.181,7,7,0
2012-01-09,partial,SSE,strategy,策略,-21333000,-0.2133,0.0363,-0.2496,8,8,0
2012-01-09,partial,SSE,commodity-other,其他商品,-1085500,-0.0109,0,-0.0109,1,1,0
2012-01-10,partial,SSE,all-a,全A,154445400,1.5445,2.3489,-0.8044,22,22,0
2012-01-10,partial,SSE,broad,宽基,176886000,1.7689,2.3426,-0.5738,7,7,0
2012-01-10,partial,SSE,industry,行业,-6753600,-0.0675,0,-0.0675,7,7,0
2012-01-10,partial,SSE,strategy,策略,-15687000,-0.1569,0.0063,-0.1631,8,8,0
2012-01-10,partial,SSE,commodity-other,其他商品,2283000,0.0228,0.0228,0,1,1,0
2012-01-11,partial,SSE,all-a,全A,382567800,3.8257,4.1706,-0.3449,22,22,0
2012-01-11,partial,SSE,broad,宽基,411067000,4.1107,4.1124,-0.0018,7,7,0
2012-01-11,partial,SSE,industry,行业,-2450200,-0.0245,0.0582,-0.0827,7,7,0
2012-01-11,partial,SSE,strategy,策略,-26049000,-0.2605,0,-0.2605,8,8,0
2012-01-11,partial,SSE,commodity-other,其他商品,2268000,0.0227,0.0227,0,1,1,0
2012-01-12,partial,SSE,all-a,全A,-54221300,-0.5422,1.6817,-2.2239,22,22,0
2012-01-12,partial,SSE,broad,宽基,-100539000,-1.0054,0.8679,-1.8733,7,7,0
2012-01-12,partial,SSE,industry,行业,-22716800,-0.2272,0,-0.2272,7,7,0
2012-01-12,partial,SSE,strategy,策略,69034500,0.6903,0.8138,-0.1235,8,8,0
2012-01-12,partial,SSE,commodity-other,其他商品,-3432000,-0.0343,0,-0.0343,1,1,0
2012-01-13,partial,SSE,all-a,全A,265909300,2.6591,2.8491,-0.19,22,22,0
2012-01-13,partial,SSE,broad,宽基,280260000,2.8026,2.8061,-0.0035,7,7,0
2012-01-13,partial,SSE,industry,行业,-8799700,-0.088,0.0179,-0.1059,7,7,0
2012-01-13,partial,SSE,strategy,策略,-5551000,-0.0555,0.0251,-0.0806,8,8,0
2012-01-13,partial,SSE,commodity-other,其他商品,-2270000,-0.0227,0,-0.0227,1,1,0
2012-01-16,partial,SSE,all-a,全A,98460400,0.9846,1.0101,-0.0255,22,22,0
2012-01-16,partial,SSE,broad,宽基,68339500,0.6834,0.6936,-0.0102,7,7,0
2012-01-16,partial,SSE,industry,行业,7513400,0.0751,0.0813,-0.0062,7,7,0
2012-01-16,partial,SSE,strategy,策略,22607500,0.2261,0.2351,-0.0091,8,8,0
