date,status,exchanges,estimatedNetFlowCny,estimatedNetFlowYi,grossInflowYi,grossOutflowYi,funds,pricedFunds,excludedRecords
2012-01-05,partial,SSE,261368600,2.6137,2.8264,-0.2127,22,22,0
2012-01-06,partial,SSE,113457700,1.1346,2.1144,-0.9798,22,22,0
2012-01-09,partial,SSE,-706990300,-7.0699,0.1454,-7.2153,22,22,0
2012-01-10,partial,SSE,154445400,1.5445,2.3489,-0.8044,22,22,0
2012-01-11,partial,SSE,382567800,3.8257,4.1706,-0.3449,22,22,0
2012-01-12,partial,SSE,-54221300,-0.5422,1.6817,-2.2239,22,22,0
2012-01-13,partial,SSE,265909300,2.6591,2.8491,-0.19,22,22,0
2012-01-16,partial,SSE,98460400,0.9846,1.0101,-0.0255,22,22,0
2012-01-17,partial,SSE,158181200,1.5818,1.737,-0.1552,22,22,0
2012-01-18,partial,SSE,-22732000,-0.2273,1.0852,-1.3125,22,22,0
2012-01-19,partial,SSE,37524500,0.3752,1.662,-1.2867,22,22,0
2012-01-20,partial,SSE,-60211600,-0.6021,0.6795,-1.2816,22,22,0
2012-01-30,partial,SSE,-392788500,-3.9279,0.095,-4.0229,22,22,0
2012-01-31,partial,SSE,246734000,2.4673,2.5415,-0.0741,22,21,1
2012-02-01,partial,SSE,-117541900,-1.1754,0.0904,-1.2658,22,22,0
2012-02-02,partial,SSE,-146177000,-1.4618,0.0577,-1.5195,22,22,0
2012-02-03,partial,SSE,-407260800,-4.0726,0,-4.0726,22,22,0
2012-02-06,partial,SSE,-182900400,-1.829,0.02,-1.849,22,22,0
2012-02-07,partial,SSE,89360300,0.8936,3.2035,-2.3099,22,22,0
2012-02-08,partial,SSE,-257032700,-2.5703,0.0119,-2.5822,22,22,0
2012-02-09,partial,SSE,-535633900,-5.3563,0,-5.3563,22,22,0
2012-02-10,partial,SSE,-362097500,-3.621,0.0241,-3.645,22,22,0
2012-02-13,partial,SSE,385066400,3.8507,3.9345,-0.0839,22,22,0
2012-02-14,partial,SSE,22463500,0.2246,0.3526,-0.128,22,22,0
2012-02-15,partial,SSE,-24339400,-0.2434,1.2001,-1.4435,22,22,0
2012-02-16,partial,SSE,-174907500,-1.7491,0.6981,-2.4472,22,22,0
2012-02-17,partial,SSE,61076200,0.6108,1.001,-0.3902,22,22,0
2012-02-20,partial,SSE,-92586300,-0.9259,0.3973,-1.3232,22,22,0
2012-02-21,partial,SSE,270844900,2.7084,3.0513,-0.3429,22,22,0
2012-02-22,partial,SSE,-326690400,-3.2669,0.0102,-3.2771,22,22,0
2012-02-23,partial,SSE,-837257200,-8.3726,0.2031,-8.5757,22,22,0
2012-02-24,partial,SSE,-372987800,-3.7299,0.0182,-3.7481,22,22,0
2012-02-27,partial,SSE,-403002800,-4.03,0.0233,-4.0533,22,22,0
2012-02-28,partial,SSE,560964600,5.6096,5.8888,-0.2792,22,22,0
2012-02-29,partial,SSE,2124600,0.0212,0.2446,-0.2233,22,22,0
2012-03-01,partial,SSE,215493200,2.1549,2.2331,-0.0781,22,22,0
2012-03-02,partial,SSE,-485220700,-4.8522,0.0559,-4.9081,22,22,0
2012-03-05,partial,SSE,-211574700,-2.1157,0.0207,-2.1365,22,22,0
2012-03-06,partial,SSE,642678100,6.4268,6.4888,-0.062,22,22,0
2012-03-07,partial,SSE,205390000,2.0539,2.1773,-0.1234,22,22,0
2012-03-08,partial,SSE,-463756000,-4.6376,0.0273,-4.6649,22,22,0
2012-03-09,partial,SSE,-288403000,-2.884,0.0863,-2.9703,22,22,0
