code,name,exchange,primaryCategoryId,primaryCategory,categoryIds,benchmarkId,benchmark,firstDate,lastDate,observations
158001,价值ETF嘉实,SZSE,strategy,策略,all-a|strategy,,,2026-08-26,2026-09-18,18
158022,创业板综增强ETF国联,SZSE,strategy,策略,all-a|strategy,,,2026-09-17,2026-09-18,2
158023,红利低波ETF万家,SZSE,strategy,策略,all-a|strategy,,,2026-09-04,2026-09-18,11
159021,大盘价值ETF华夏,SZSE,strategy,策略,all-a|strategy,,,2026-05-14,2026-09-18,91
159037,价值ETF鹏华,SZSE,strategy,策略,all-a|strategy,,,2026-06-10,2026-09-18,72
159042,价值ETF汇添富,SZSE,strategy,策略,all-a|strategy,,,2026-06-08,2026-09-18,74
159079,价值ETF兴全,SZSE,strategy,策略,all-a|strategy,,,2026-07-31,2026-09-18,36
159083,红利低波100ETF嘉实,SZSE,strategy,策略,all-a|strategy,,,2026-08-12,2026-09-18,28
159085,价值ETF永赢,SZSE,strategy,策略,all-a|strategy,,,2026-07-17,2026-09-18,46
159096,价值ETF华夏,SZSE,strategy,策略,all-a|strategy,,,2026-08-27,2026-09-18,17
159098,价值ETF招商,SZSE,strategy,策略,all-a|strategy,,,2026-08-13,2026-09-18,27
159106,民企300ETF前海开源,SZSE,strategy,策略,all-a|strategy,,,2025-10-21,2026-09-18,226
159119,800现金流ETF招商,SZSE,strategy,策略,all-a|strategy,,,2025-11-12,2026-09-18,210
159166,现金流ETF长城,SZSE,strategy,策略,all-a|strategy,,,2026-03-17,2026-09-18,129
159188,红利100ETF景顺,SZSE,strategy,策略,all-a|strategy,,,2026-04-09,2026-09-18,113
159201,自由现金流ETF华夏,SZSE,strategy,策略,all-a|strategy,,,2025-02-26,2026-09-18,384
159203,大盘成长ETF博时,SZSE,strategy,策略,all-a|strategy,,,2025-06-27,2026-09-18,302
159207,高股息ETF广发,SZSE,strategy,策略,all-a|strategy,,,2025-04-08,2026-09-18,356
159209,红利质量ETF招商,SZSE,strategy,策略,all-a|strategy,,,2025-03-24,2026-09-18,366
159221,现金流ETF嘉实,SZSE,strategy,策略,all-a|strategy,,,2025-05-12,2026-09-18,335
159222,自由现金流ETF易方达,SZSE,strategy,策略,all-a|strategy,,,2025-04-16,2026-09-18,350
159223,现金流ETF永赢,SZSE,strategy,策略,all-a|strategy,,,2025-07-02,2026-09-18,299
159225,现金流ETF银华,SZSE,strategy,策略,all-a|strategy,,,2025-04-16,2026-09-18,350
159226,中证A500增强ETF国泰,SZSE,strategy,策略,all-a|strategy,,,2025-05-28,2026-09-18,323
159228,红利低波ETF长城,SZSE,strategy,策略,all-a|strategy,,,2025-06-17,2026-09-18,310
159229,自由现金流ETF广发,SZSE,strategy,策略,all-a|strategy,,,2025-05-14,2026-09-18,333
159232,自由现金流ETF南方,SZSE,strategy,策略,all-a|strategy,,,2025-04-29,2026-09-18,341
159233,自由现金流ETF平安,SZSE,strategy,策略,all-a|strategy,,,2025-06-03,2026-09-18,320
159235,中证现金流ETF大成,SZSE,strategy,策略,all-a|strategy,,,2025-04-29,2026-09-18,341
159236,自由现金流ETF工银,SZSE,strategy,策略,all-a|strategy,,,2025-05-15,2026-09-18,332
159238,沪深300增强ETF景顺,SZSE,strategy,策略,all-a|strategy,,,2025-06-06,2026-09-18,317
159240,A500增强ETF天弘,SZSE,strategy,策略,all-a|strategy,,,2025-06-16,2026-09-18,311
159249,A500增强ETF工银,SZSE,strategy,策略,all-a|strategy,,,2025-07-01,2026-09-18,300
159259,成长ETF易方达,SZSE,strategy,策略,all-a|strategy,,,2025-08-27,2026-09-18,259
159263,价值ETF易方达,SZSE,strategy,策略,all-a|strategy,,,2025-07-07,2026-09-18,296
159276,现金流ETF汇添富,SZSE,strategy,策略,all-a|strategy,,,2025-07-25,2026-09-18,282
159290,创业板综指增强ETF东财,SZSE,strategy,策略,all-a|strategy,,,2025-09-16,2026-09-18,245
159291,创业板综增强ETF招商,SZSE,strategy,策略,all-a|strategy,,,2025-08-29,2026-09-18,257
159292,创业板综增强ETF华宝,SZSE,strategy,策略,all-a|strategy,,,2025-09-01,2026-09-18,256
159293,创业板综增强ETF建信,SZSE,strategy,策略,all-a|strategy,,,2026-01-12,2026-09-18,169
159296,A500红利低波ETF华宝,SZSE,strategy,策略,all-a|strategy,,,2025-09-03,2026-09-18,254
159307,红利低波100ETF博时,SZSE,strategy,策略,all-a|strategy,,,2024-04-24,2026-09-18,586
159332,央企红利ETF富国,SZSE,strategy,策略,all-a|strategy,,,2024-07-31,2026-09-18,520
159335,央企科创ETF融通,SZSE,strategy,策略,all-a|strategy,,,2024-09-04,2026-09-18,495
159336,央企红利ETF融通,SZSE,strategy,策略,all-a|strategy,,,2025-02-11,2026-09-18,395
159355,800红利低波ETF华宝,SZSE,strategy,策略,all-a|strategy,,,2024-12-02,2026-09-18,439
159391,大盘价值ETF博时,SZSE,strategy,策略,all-a|strategy,,,2025-04-18,2026-09-18,348
159399,现金流ETF国泰,SZSE,strategy,策略,all-a|strategy,,,2025-02-26,2026-09-18,384
159510,沪深300价值ETF华夏,SZSE,strategy,策略,all-a|strategy,,,2023-08-15,2026-09-18,752
159515,国企红利ETF鹏扬,SZSE,strategy,策略,all-a|strategy,,,2023-09-05,2026-09-18,737
159517,中证800增强ETF银华,SZSE,strategy,策略,all-a|strategy,,,2023-09-04,2026-09-18,738
159523,沪深300成长ETF华夏,SZSE,strategy,策略,all-a|strategy,,,2023-09-18,2026-09-18,728
159525,红利低波ETF富国,SZSE,strategy,策略,all-a|strategy,,,2024-05-17,2026-09-18,572
159528,国企改革ETF富国,SZSE,strategy,策略,all-a|strategy,,,2024-05-17,2026-09-18,572
159547,红利低波ETF华夏,SZSE,strategy,策略,all-a|strategy,,,2024-02-05,2026-09-18,635
159549,红利低波ETF天弘,SZSE,strategy,策略,all-a|strategy,,,2023-12-08,2026-09-18,675
159552,中证2000增强ETF招商,SZSE,strategy,策略,all-a|strategy,,,2024-06-27,2026-09-18,544
159553,中证2000增强ETF海富通,SZSE,strategy,策略,all-a|strategy,,,2024-04-12,2026-09-18,594
159555,中证2000增强ETF银华,SZSE,strategy,策略,all-a|strategy,,,2023-12-11,2026-09-18,674
159556,中证2000增强ETF平安,SZSE,strategy,策略,all-a|strategy,,,2024-01-09,2026-09-18,654
159581,红利ETF万家,SZSE,strategy,策略,all-a|strategy,,,2024-03-14,2026-09-18,613
159589,红利ETF广发,SZSE,strategy,策略,all-a|strategy,,,2024-03-25,2026-09-18,606
159597,创业板成长ETF易方达,SZSE,strategy,策略,all-a|strategy,,,2024-05-24,2026-09-18,567
159606,中证500成长ETF易方达,SZSE,strategy,策略,all-a|strategy,,,2021-12-28,2026-09-18,1147
159610,中证500增强ETF景顺,SZSE,strategy,策略,all-a|strategy,,,2022-01-07,2026-09-18,1140
159617,中证500价值ETF华夏,SZSE,strategy,策略,all-a|strategy,,,2022-06-29,2026-09-18,1028
159620,中证500成长ETF华夏,SZSE,strategy,策略,all-a|strategy,,,2022-08-04,2026-09-18,1002
159621,ESGETF国泰,SZSE,strategy,策略,all-a|strategy,,,2022-09-08,2026-09-18,977
159653,ESG300ETF国联安,SZSE,strategy,策略,all-a|strategy,,,2023-03-23,2026-09-18,849
159656,沪深300成长ETF万家,SZSE,strategy,策略,all-a|strategy,,,2023-01-13,2026-09-18,893
159675,创业板增强ETF嘉实,SZSE,strategy,策略,all-a|strategy,,,2022-12-01,2026-09-18,923
159676,创业板增强ETF富国,SZSE,strategy,策略,all-a|strategy,,,2023-04-11,2026-09-18,837
