date,open,high,low,close,adjustedClose,volume,amount,logReturnPct,simpleReturnPct,realizedVol20Pct,realizedVol60Pct,downsideVol20Pct,changeInVol20Pct,forwardVol20Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct
,994.77,994.77,980.66,982.79,982.79,7412868,4431977400,,,,,,,18.50357,1.449572,-2.768986,0.197203
,981.58,997.32,979.88,992.56,992.56,7119108,4529208200,0.9892,0.994109,,,,,26.284489,0.421252,1.435405,1.091188
,993.33,993.79,980.33,983.17,983.17,6288029,3921015400,-0.950542,-0.946039,,,,,26.541024,1.384836,1.017015,1.238271
,983.05,995.71,979.81,983.96,983.96,7298694,4737469400,0.08032,0.080352,,,,,27.771193,0.441117,3.288948,-0.536009
,983.76,993.96,979.79,993.88,993.88,5791697,3762932900,1.003123,1.008171,,,,,27.659922,-2.695273,2.944509,0.70384
,994.19,999.55,991.09,997.14,997.14,5849079,3704076700,0.327471,0.328007,,,,,27.693488,-2.277171,2.326459,-1.025154
,996.65,996.98,989.26,996.75,996.75,5014525,3093299700,-0.03912,-0.039112,,,,,28.236667,-3.008435,0.928706,-2.300655
,996.08,999.47,992.7,996.88,996.88,6044065,3842173300,0.013042,0.013042,,,,,29.013717,-4.162147,2.843194,-3.377772
,996.62,1006.46,987.23,988.31,988.31,7297842,4162921200,-0.863399,-0.859682,,,,,29.503266,-0.579429,5.743944,-2.294646
,979.11,981.53,965.08,967.45,967.45,7288188,4249807800,-2.133267,-2.110674,,,,,28.187179,3.121978,7.609355,-1.728639
,967.37,974.87,960.29,974.69,974.69,7311847,4117944100,0.745573,0.748359,,,,,28.164562,2.341334,7.009279,-3.201449
,974.33,974.33,965.26,967.21,967.21,6338091,3427951300,-0.770383,-0.767423,,,11.957565,,27.869838,2.32186,7.903932,-2.949367
,963.21,963.21,952.23,956.24,956.24,7727106,4399350600,-1.140671,-1.13419,,,10.765324,,27.563357,1.904898,8.395745,-2.774908
,954.46,984.27,943.44,982.6,982.6,14450059,8152086100,2.719319,2.75663,,,10.765324,,26.304205,-1.372081,5.285273,-4.743346
,1001.85,1001.85,986.24,998.13,998.13,14359461,8360161500,1.568141,1.580501,,,10.765324,,26.477922,-4.429785,2.296766,-7.436156
,995.64,997.95,985.24,997.78,997.78,9862529,6157022400,-0.035072,-0.035066,,,11.354217,,26.53166,-4.28272,2.955549,-5.745323
,995.78,999.47,988.48,989.93,989.93,7663290,4719440400,-0.789858,-0.786747,,,10.516938,,26.382872,1.700728,3.351525,-5.987233
,987.34,987.7,973.77,974.63,974.63,6945364,4094398900,-1.557632,-1.545564,,,10.544597,,25.612619,1.889428,5.512995,-6.952582
,974.63,975.62,965.21,969.21,969.21,5748807,3280950300,-0.557661,-0.556108,,,10.106564,,25.988902,4.799342,7.910177,-5.965781
,965.79,965.79,953.14,954.88,954.88,6788706,3863573600,-1.489563,-1.478524,,,10.016782,,25.14955,6.947589,9.165909,-5.713747
,953.33,965.48,952.74,955.95,955.95,7433066,4275706800,0.111993,0.112056,18.50357,,10.016782,,27.023335,6.545016,6.721225,-7.619184
,956.7,1006.93,956.7,1006.91,1006.91,17057338,10202904300,5.19359,5.330823,26.284489,,10.016782,7.780919,20.073596,-0.085446,2.01743,-12.618792
,1005.56,1014.19,992.16,993.22,993.22,16974539,10057310300,-1.368932,-1.359605,26.541024,,10.227076,0.256536,19.317331,3.211015,3.736139,-12.641978
,992.25,1021.03,989.94,1016.86,1016.86,15736214,9549870600,2.352254,2.380137,27.771193,,10.227076,1.230169,18.651325,2.896112,-0.329003,-14.28951
,1023.32,1033.25,1018.49,1023.58,1023.58,12131293,7438168200,0.658684,0.660858,27.659922,,10.227076,-0.111271,18.807419,1.969573,-2.024099,-14.750989
,1024.43,1024.43,1010.48,1020.61,1020.61,8968297,5513063300,-0.29058,-0.290158,27.693488,,10.245753,0.033566,19.082964,2.405649,-2.75661,-14.350641
,1020.12,1021.2,1005.63,1006.05,1006.05,8139939,4817732100,-1.436872,-1.426598,28.236667,,9.466269,0.54318,19.086278,3.966791,-2.760276,-13.073369
,1006.69,1025.66,1006.69,1025.63,1025.63,9886094,6052394900,1.927529,1.946225,29.013717,,9.466269,0.77705,17.575683,1.390404,-4.358305,-17.225375
,1026.84,1048.68,1024.53,1046.74,1046.74,17937842,10922776800,2.037351,2.058247,29.503266,,9.8869,0.489549,16.317134,-1.0381,-8.232381,-18.671432
,1046.81,1049.61,1036.63,1043.94,1043.94,18696929,11231940700,-0.267856,-0.267497,28.187179,,8.706252,-1.316087,16.312298,-2.190611,-8.485579,-18.404728
,1042.25,1045.96,1034.73,1045.46,1045.46,14681788,8993752200,0.145496,0.145602,28.164562,,8.706252,-0.022617,16.601647,-1.712395,-8.029143,-19.838935
,1046.27,1059.48,1045.98,1046.76,1046.76,18170003,11489961200,0.12427,0.124347,27.869838,,9.156161,-0.294724,16.506697,-2.230547,-8.344308,-20.879525
,1046.21,1048.28,1035.04,1039.99,1039.99,12971046,8190101300,-0.648858,-0.646758,27.563357,,9.117146,-0.306481,16.495039,-0.977852,-7.930419,-19.515171
,1039.35,1042.74,1031.17,1035.93,1035.93,9962090,6288790700,-0.391152,-0.390388,26.304205,,8.917067,-1.259152,16.507176,1.252822,-8.114458,-19.084289
,1036.37,1045.76,1021,1021.32,1021.32,14225135,8971307900,-1.420367,-1.410327,26.477922,,8.960305,0.173717,17.001762,2.439358,-8.613589,-19.83941
,1019.88,1028.4,1014.75,1027.71,1027.71,9203085,5582812000,0.623712,0.625661,26.53166,,8.357939,0.053738,16.943218,-0.517044,-8.687074,-22.776153
,1027.93,1031.85,1022.18,1023.67,1023.67,8173641,5383868100,-0.393882,-0.393107,26.382872,,8.730676,-0.148789,22.523556,0.366633,-4.548646,-22.425048
,1024.48,1031.34,1024.48,1029.87,1029.87,7932949,5316473200,0.603837,0.605664,25.612619,,8.431487,-0.770253,22.836811,0.112572,-6.799671,-20.497715
,1033.79,1049.29,1032.85,1048.99,1048.99,14295793,9851274600,1.839522,1.856545,25.988902,,8.800298,0.376283,21.351114,-3.439838,-9.324366,-22.542453
,1051.26,1054.64,1041.98,1046.54,1046.54,15327488,9877624300,-0.233831,-0.233558,25.14955,,8.456431,-0.839352,22.908587,-4.242419,-7.217233,-14.445935
,1046.69,1046.69,1019.63,1022.41,1022.41,13295953,8380547700,-2.33269,-2.305693,27.023335,,11.373436,1.873785,22.24288,-2.93282,-3.755037,-11.36202
,1021.08,1028.12,1016.93,1027.43,1027.43,11476381,7654557000,0.489795,0.490997,20.073596,,11.373436,-6.949739,23.329214,-4.863153,-2.361648,-13.848384
,1027.18,1041.57,1014.93,1031.03,1031.03,14466089,10229428900,0.349776,0.350389,19.317331,,11.709234,-0.756264,23.381558,-4.88343,-3.514882,-14.377179
,1030.86,1030.94,1011.64,1013.52,1013.52,12007492,8091209200,-1.712888,-1.698302,18.651325,,11.907258,-0.666006,23.365145,-5.007266,-3.495954,-13.724813
,1011.85,1012.2,995.97,1003.07,1003.07,10622782,7153745900,-1.036412,-1.03106,18.807419,,11.311676,0.156093,24.626877,-4.491907,-0.21657,-14.59777
,1001.97,1004.82,992.12,992.86,992.86,9969011,6535061300,-1.023091,-1.017875,19.082964,,10.810031,0.275545,24.868635,-2.866884,-0.595002,-12.153177
,991.89,996.4,975.71,978.66,978.66,9652059,6314991200,-1.440538,-1.430212,19.086278,,10.813858,0.003314,24.777744,-1.617241,-0.469085,-10.587609
,977.3,983.18,973,981.89,981.89,7252564,4594520000,0.3295,0.330043,17.575683,,10.813858,-1.510596,25.00718,-2.18171,-1.862661,-8.015305
,981.71,982.14,959.56,964.02,964.02,11375717,6955307700,-1.836724,-1.819959,16.317134,,11.014857,-1.258548,24.156392,-0.920177,0.193791,-7.298191
,962.82,975.36,955.99,959.01,959.01,10930053,7092055400,-0.521054,-0.519699,16.312298,,10.65204,-0.004836,24.73968,-2.31862,-0.852415,-6.278478
,957.43,965.06,948.53,964.8,964.8,9260714,6446642600,0.601932,0.603748,16.601647,,10.65204,0.289348,24.730274,-2.370326,-2.181585,-7.669615
,964.25,966.97,959.06,962.96,962.96,7107322,4258127200,-0.190895,-0.190713,16.506697,,10.928162,-0.09495,24.771913,1.565116,-2.50899,-6.950779
,961.65,961.65,948.81,960.7,960.7,6669246,4141656400,-0.234969,-0.234693,16.495039,,11.361923,-0.011659,24.95014,0.152896,-3.240233,-4.760215
,960.42,968.12,954.74,955.19,955.19,7577378,4842151100,-0.575191,-0.57354,16.507176,,11.188447,0.012137,25.102435,0.042914,-1.914162,-5.53907
,952.71,952.71,936.38,937.03,937.03,8950164,5459378800,-1.919497,-1.901192,17.001762,,11.785566,0.494586,24.487543,3.835714,-1.119333,-4.154351
,934.85,942.37,928.34,942.2,942.2,7859445,4555322800,0.550227,0.551743,16.943218,,11.785566,-0.058544,25.155846,4.414993,-0.013798,-6.97854
,941.43,989.9,937.55,978.15,978.15,16347504,10109402800,3.744547,3.815538,22.523556,,11.888393,5.580338,21.112759,2.553631,-4.790113,-12.932384
,968.49,974.06,956.13,962.17,962.17,11435093,7296500000,-1.647188,-1.633696,22.836811,,11.645353,0.313255,22.093339,3.397361,-5.665905,-11.700255
,960.54,967.75,953.59,955.6,955.6,9534536,6069514000,-0.685173,-0.682832,21.351114,,11.347357,-1.485697,22.178413,2.388574,-4.551592,-11.747961
,955.6,977.86,948.95,973.67,973.67,14282421,9727656100,1.873302,1.890959,22.908587,,11.070372,1.557473,20.986977,2.758244,-7.662423,-14.462756
