date,open,high,low,close,adjustedClose,volume,amount,logReturnPct,simpleReturnPct,realizedVol20Pct,realizedVol60Pct,downsideVol20Pct,changeInVol20Pct,forwardVol20Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct
,96.05,99.98,95.79,99.98,99.98,1260,494000,,,,,,,29.272767,22.550124,29.473357,22.102088
,104.3,104.39,99.98,104.39,104.39,197,84000,4.316372,4.410882,,,,,27.684169,18.241735,25.149536,17.39203
,109.07,109.13,103.73,109.13,109.13,28,16000,4.440595,4.540665,,,,,25.296706,14.730714,20.708941,12.499603
,113.57,114.55,109.13,114.55,114.55,32,31000,4.847158,4.966554,,,,,21.352365,10.796733,15.473665,7.214808
,120.09,120.25,114.55,120.25,120.25,15,6000,4.85615,4.975993,,,,,15.33354,6.899842,10.20536,1.951723
,125.27,125.27,120.25,125.27,125.27,100,53000,4.08985,4.174636,,,,,7.949061,3.813939,5.694108,-2.546724
,125.27,125.28,125.27,125.28,125.28,66,104000,0.007982,0.007983,,,,,8.288241,4.799924,5.262941,-2.96498
,126.39,126.45,125.28,126.45,126.45,108,88000,0.929574,0.933908,,,,,8.261365,4.340939,3.885565,-4.306518
,126.56,127.61,126.48,127.61,127.61,78,60000,0.913176,0.917359,,,,,8.04856,3.896148,2.583683,-5.641654
,127.61,128.84,127.61,128.84,128.84,91,59000,0.959259,0.963874,,,,,7.616508,3.433093,1.234203,-6.94975
,128.84,130.14,128.84,130.14,130.14,141,93000,1.003947,1.009003,,,,,6.882596,2.90051,-0.130714,-7.505415
,131.27,131.44,130.14,131.44,131.44,420,261000,0.993968,0.998924,,,,,5.873164,2.375694,-1.479238,-8.10259
,131.99,132.06,131.45,132.06,132.06,217,141000,0.470589,0.471698,,,,,5.582276,1.957098,-2.305644,-8.16152
,132.62,132.68,132.06,132.68,132.68,2926,1806000,0.468385,0.469484,,,,,5.19704,1.540678,-3.138894,-8.621689
,133.3,133.34,132.68,133.34,133.34,5603,3228000,0.496204,0.497437,,,,,5.097981,0.672699,-3.200517,-9.265883
,133.93,133.97,133.34,133.97,133.97,9990,5399000,0.471364,0.472476,,,,,5.149323,0.208784,-3.169813,-10.108182
,134.61,134.61,134.51,134.6,134.6,13327,7115000,0.469152,0.470255,,,,,5.124338,-0.267817,-3.185415,-10.966231
,134.11,135.19,134.11,134.67,134.67,12530,6883000,0.051992,0.052006,,,,,5.523474,-0.31981,-2.785905,-11.400315
,134.21,134.74,134.19,134.74,134.74,1446,1010000,0.051965,0.051979,,,,,5.694495,-0.759893,-2.548148,-11.885976
,134.19,134.74,134.14,134.24,134.24,509,270000,-0.371775,-0.371085,,,,,5.947383,-0.800274,-1.743356,-11.87426
,133.67,134.25,133.65,134.25,134.25,658,334000,0.007449,0.007449,29.272767,,,,6.253503,-1.229124,-1.28947,-12.251488
,133.7,134.25,133.67,134.24,134.24,3004,1570000,-0.007449,-0.007449,27.684169,,,-1.588598,6.51592,-1.64486,-0.830315,-12.606741
,133.7,134.24,133.66,134.24,134.24,2051,1029000,0,0,25.296706,,,-2.387463,6.705793,-2.092662,-0.425517,-12.979244
,133.72,134.24,133.66,133.72,133.72,354,180000,-0.388118,-0.387366,21.352365,,,-3.944341,6.761919,-2.093249,0.417911,-12.973535
,133.17,133.72,133.14,133.17,133.17,1095,575000,-0.412155,-0.411307,15.33354,,,-6.018825,6.713315,-2.071316,1.268484,-12.876905
,132.61,133.17,132.57,132.61,132.61,1857,917000,-0.421402,-0.420515,7.949061,,2.792556,-7.384479,6.648649,-2.010884,1.340794,-12.840596
,132.05,132.07,132.03,132.05,132.05,3447,1722000,-0.423185,-0.422291,8.288241,,2.585405,0.33918,6.582085,-1.942254,1.413664,-12.795386
,131.46,131.55,131.46,131.46,131.46,5107,2565000,-0.447802,-0.4468,8.261365,,2.451422,-0.026876,6.483254,-1.85027,1.517411,-12.692442
,130.95,130.97,130.95,130.95,130.95,1387,710000,-0.388705,-0.387951,8.04856,,2.278343,-0.212805,6.443661,-1.826429,1.560874,-12.67579
,130.44,130.95,130.41,130.44,130.44,527,260000,-0.390222,-0.389462,7.616508,,2.138185,-0.432053,6.416753,-1.001626,1.589568,-12.112348
,129.93,130.46,129.93,129.97,129.97,510,244000,-0.36097,-0.360319,6.882596,,2.015901,-0.733911,6.46187,-0.138589,1.542251,-12.454781
,129.5,129.97,129.45,129.51,129.51,345,140000,-0.354556,-0.353928,5.873164,,1.912714,-1.009433,6.506294,0.669517,1.494452,-12.80861
,129.05,129.58,129.05,129.05,129.05,553,273000,-0.355817,-0.355185,5.582276,,1.823832,-0.290888,6.543346,1.476836,1.453928,-13.139718
,128.56,128.58,128.53,128.58,128.58,8562,4250000,-0.364865,-0.3642,5.19704,,1.746308,-0.385236,6.580952,2.131424,1.413205,-13.439838
,129.13,129.15,128.06,129.14,129.14,6641,3847000,0.434581,0.435527,5.097981,,1.746308,-0.099059,6.635006,2.129859,0.579085,-14.588644
,129.74,129.79,129.14,129.79,129.79,2133,1504000,0.502067,0.50333,5.149323,,1.746308,0.051342,6.593011,2.089128,-0.370514,-15.80105
,130.36,130.39,129.79,130.38,130.38,1234,879000,0.45355,0.45458,5.124338,,1.746308,-0.024985,6.490709,2.087283,-1.24254,-16.970021
,130.92,130.97,130.39,130.97,130.97,9317,4834000,0.451503,0.452523,5.523474,,1.746308,0.399137,9.336479,2.040579,-3.749661,-18.096339
,131.54,131.56,130.97,131.35,131.35,3774,1986000,0.289723,0.290143,5.694495,,1.746308,0.171021,9.192216,2.206166,-4.452444,-19.083888
,131.93,131.93,131.35,131.92,131.92,1152,673000,0.433016,0.433955,5.947383,,1.8231,0.252887,8.868318,2.211567,-5.252286,-20.154703
,132.53,132.53,132.3,132.53,132.53,3624,1883000,0.461336,0.462401,6.253503,,1.8231,0.306121,8.4491,1.401139,-6.081799,-21.220607
,133.12,133.14,133.08,133.13,133.13,1748,1216000,0.451706,0.452728,6.51592,,0.496824,0.262417,7.965144,0.599118,-6.927191,-22.252405
,133.63,133.67,133.13,133.67,133.67,876,520000,0.404798,0.405619,6.705793,,0.496824,0.189873,7.457939,-0.149734,-7.783821,-23.410715
,134.24,134.28,133.67,134.28,134.28,3220,1771000,0.45531,0.456348,6.761919,,0.523338,0.056126,6.757527,-0.950286,-8.676768,-22.943752
,134.85,134.87,134.28,134.87,134.87,3427,2003000,0.438418,0.43938,6.713315,,0.542083,-0.048605,5.925272,-1.750232,-9.522121,-22.384818
,134.37,134.87,134.33,134.4,134.4,810,621000,-0.349092,-0.348484,6.648649,,0.544015,-0.064666,5.912104,-1.809427,-9.581626,-21.121719
,133.9,134.44,133.9,133.93,133.93,1094,2545000,-0.350315,-0.349702,6.582085,,0.504121,-0.066563,5.898599,-1.861465,-9.641585,-21.287391
,133.44,133.98,133.44,133.47,133.47,214,141000,-0.344054,-0.343463,6.483254,,0.265496,-0.098832,5.882427,-1.913753,-9.709494,-20.179518
,132.99,133.52,132.98,133.01,133.01,2258,1187000,-0.345242,-0.344647,6.443661,,0.224587,-0.039593,5.864446,-1.974098,-9.786211,-18.921694
