date,open,high,low,close,adjustedClose,volume,amount,logReturnPct,simpleReturnPct,realizedVol20Pct,realizedVol60Pct,downsideVol20Pct,changeInVol20Pct,forwardVol20Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct
,17.66,17.66,17.66,17.66,17.66,0,,,,,,,,12.346175,-0.910131,-0.967291,6.733046
,17.76,17.76,17.76,17.76,17.76,0,,0.564656,0.566254,,,,,12.280667,-2.220412,-1.075587,6.485522
,17.719999,17.719999,17.719999,17.719999,17.719999,0,,-0.225484,-0.22523,,,,,12.281121,-2.110138,-1.078017,8.437442
,17.549999,17.549999,17.549999,17.549999,17.549999,0,,-0.964,-0.959368,,,,,11.976035,-0.456882,0.454804,7.463697
,17.66,17.66,17.66,17.66,17.66,0,,0.624828,0.626784,,,,,12.641087,-0.45403,-1.4832,7.418889
,17.5,17.5,17.5,17.5,17.5,0,,-0.910131,-0.906001,,,,,12.300706,-1.207253,-0.286119,8.171163
,17.370001,17.370001,17.370001,17.370001,17.370001,0,,-0.745625,-0.742852,,,,,11.996843,-0.403817,0.402182,10.172691
,17.35,17.35,17.35,17.35,17.35,0,,-0.11521,-0.115144,,,6.274218,,12.021404,-0.520083,0.803675,10.495698
,17.469999,17.469999,17.469999,17.469999,17.469999,0,,0.689256,0.691636,,,6.274218,,11.834635,-0.516501,0.456882,8.920327
,17.58,17.58,17.58,17.58,17.58,0,,0.62768,0.629654,,,6.274218,,11.618099,-0.570454,-0.227785,10.057094
,17.290001,17.290001,17.290001,17.290001,17.290001,0,,-1.663354,-1.649596,,,8.927042,,10.107417,2.004066,0.86381,11.566004
,17.299999,17.299999,17.299999,17.299999,17.299999,0,,0.05781,0.057827,,,8.927042,,10.153296,2.342294,0.576373,13.143384
,17.26,17.26,17.26,17.26,17.26,0,,-0.231476,-0.231208,,,8.767836,,10.17438,1.495141,0.520083,13.121121
,17.379999,17.379999,17.379999,17.379999,17.379999,0,,0.692837,0.695243,,,8.767836,,11.741095,1.428188,-1.97565,11.611953
,17.48,17.48,17.48,17.48,17.48,0,,0.573727,0.575376,,,8.767836,,11.554605,1.194219,-3.078947,11.038226
,17.639999,17.639999,17.639999,17.639999,17.639999,0,,0.911167,0.915331,,,8.767836,,11.58966,-0.853974,-3.050589,10.688995
,17.709999,17.709999,17.709999,17.709999,17.709999,0,,0.396038,0.396824,,,8.767836,,11.455979,-0.793652,-3.329814,8.80461
,17.52,17.52,17.52,17.52,17.52,0,,-1.078629,-1.072833,,,8.400139,,11.033645,0.057063,-1.959718,8.895958
,17.629999,17.629999,17.629999,17.629999,17.629999,0,,0.625884,0.627846,,,8.400139,,10.740548,0,-2.993883,8.790911
,17.690001,17.690001,17.690001,17.690001,17.690001,0,,0.339759,0.340337,,,8.400139,,10.712873,-1.652935,-3.041845,8.865875
,17.49,17.49,17.49,17.49,17.49,0,,-1.137026,-1.130587,12.346175,,8.131243,,10.347499,-0.228958,-1.323758,10.724551
,17.57,17.57,17.57,17.57,17.57,0,,0.456361,0.457404,12.280667,,8.131243,-0.065507,10.226962,-0.742644,-1.548643,11.341002
,17.530001,17.530001,17.530001,17.530001,17.530001,0,,-0.227915,-0.227655,12.281121,,8.125977,0.000454,10.214474,-0.228446,-1.320728,11.923975
,17.629999,17.629999,17.629999,17.629999,17.629999,0,,0.568821,0.570442,11.976035,,8.612802,-0.305086,11.529646,-0.454804,-0.340906,11.506941
,17.4,17.4,17.4,17.4,17.4,0,,-1.313176,-1.304592,12.641087,,8.565197,0.665051,10.622529,0.801385,1.539811,13.072575
,17.450001,17.450001,17.450001,17.450001,17.450001,0,,0.286951,0.287363,12.300706,,9.140436,-0.34038,10.789415,-0.057324,0.74222,13.288646
,17.440001,17.440001,17.440001,17.440001,17.440001,0,,-0.057324,-0.057308,11.996843,,10.09267,-0.303864,10.835619,-0.229626,1.140257,14.889438
,17.49,17.49,17.49,17.49,17.49,0,,0.286283,0.286693,12.021404,,10.040599,0.024561,12.180234,-0.803675,2.484603,15.439569
,17.549999,17.549999,17.549999,17.549999,17.549999,0,,0.342463,0.34305,11.834635,,10.040599,-0.186768,12.192591,-2.949033,2.531785,14.408808
,17.540001,17.540001,17.540001,17.540001,17.540001,0,,-0.056987,-0.05697,11.618099,,10.224368,-0.216536,12.34715,-3.421616,2.143337,14.317679
,17.440001,17.440001,17.440001,17.440001,17.440001,0,,-0.571759,-0.570128,10.107417,,8.245457,-1.510682,12.087697,-1.910333,2.770886,14.741104
,17.4,17.4,17.4,17.4,17.4,0,,-0.229626,-0.229363,10.153296,,7.937951,0.045879,12.209062,-1.563892,3.77829,15.710204
,17.35,17.35,17.35,17.35,17.35,0,,-0.287766,-0.287352,10.17438,,7.87327,0.021084,12.434243,-0.984659,5.112036,16.390126
,17.040001,17.040001,17.040001,17.040001,17.040001,0,,-1.802895,-1.78674,11.741095,,9.725575,1.566715,9.791288,0.409955,7.461084,17.948098
,16.950001,16.950001,16.950001,16.950001,16.950001,0,,-0.52957,-0.52817,11.554605,,9.253184,-0.18649,9.202398,1.231321,8.53383,16.796124
,17.110001,17.110001,17.110001,17.110001,17.110001,0,,0.939524,0.943952,11.58966,,9.253184,0.035055,9.269473,0.872858,8.6183,16.205126
,17.129999,17.129999,17.129999,17.129999,17.129999,0,,0.116814,0.116882,11.455979,,9.253184,-0.133681,9.539568,0.987519,8.233034,15.089299
,17.18,17.18,17.18,17.18,17.18,0,,0.291467,0.291892,11.033645,,9.477,-0.422334,9.723465,0.696052,8.904658,13.331303
,17.110001,17.110001,17.110001,17.110001,17.110001,0,,-0.408281,-0.407449,10.740548,,9.048356,-0.293097,9.769582,2.652976,10.740394,12.354599
,17.16,17.16,17.16,17.16,17.16,0,,0.291796,0.292222,10.712873,,9.048356,-0.027675,10.519803,2.928721,9.869503,14.057241
,17.26,17.26,17.26,17.26,17.26,0,,0.581061,0.582753,10.347499,,9.06389,-0.365374,10.849308,1.837019,9.024095,14.08194
,17.299999,17.299999,17.299999,17.299999,17.299999,0,,0.231476,0.231744,10.226962,,9.06389,-0.120537,10.830544,1.946256,9.109751,14.001326
,17.299999,17.299999,17.299999,17.299999,17.299999,0,,0,0,10.214474,,9.424732,-0.012488,11.575685,3.576885,10.836187,12.329131
,17.57,17.57,17.57,17.57,17.57,0,,1.548643,1.560696,11.529646,,9.424732,1.315172,13.929653,2.417887,7.349799,12.049863
,17.67,17.67,17.67,17.67,17.67,0,,0.567541,0.569154,10.622529,,8.943726,-0.907117,13.9321,1.404912,7.362279,12.386398
,17.58,17.58,17.58,17.58,17.58,0,,-0.51064,-0.509339,10.789415,,8.366609,0.166886,13.69117,1.971342,7.715062,13.246426
,17.639999,17.639999,17.639999,17.639999,17.639999,0,,0.340713,0.341294,10.835619,,8.499564,0.046204,14.032395,2.408407,8.630252,11.551288
,17.93,17.93,17.93,17.93,17.93,0,,1.630629,1.643996,12.180234,,8.499564,1.344614,13.310093,1.823758,7.20742,10.172872
,18,18,18,18,18,0,,0.389645,0.390405,12.192591,,8.499564,0.012357,14.024094,1.980266,5.93166,8.821435
,17.92,17.92,17.92,17.92,17.92,0,,-0.445435,-0.444444,12.34715,,7.950825,0.154558,14.653027,2.968877,8.141541,9.012226
,17.93,17.93,17.93,17.93,17.93,0,,0.055789,0.055805,12.087697,,8.585911,-0.259452,14.738627,3.937082,7.931308,7.725022
,18.07,18.07,18.07,18.07,18.07,0,,0.777778,0.780811,12.209062,,8.961405,0.121364,15.33494,2.890851,8.788721,3.320036
,18.26,18.26,18.26,18.26,18.26,0,,1.04598,1.051469,12.434243,,9.469771,0.225182,15.347101,2.807962,7.489002,0.437159
,18.360001,18.360001,18.360001,18.360001,18.360001,0,,0.546153,0.547647,9.791288,,,-2.642956,15.897107,3.689264,6.126519,2.845823
,18.459999,18.459999,18.459999,18.459999,18.459999,0,,0.543176,0.544654,9.202398,,,-0.58889,15.906693,2.566994,5.583342,3.146088
,18.65,18.65,18.65,18.65,18.65,0,,1.023995,1.029255,9.269473,,,0.067075,15.702988,1.278652,5.121284,0.481414
,18.6,18.6,18.6,18.6,18.6,0,,-0.268452,-0.268092,9.539568,,,0.270096,16.802006,1.864237,3.90139,-1.081096
,18.780001,18.780001,18.780001,18.780001,18.780001,0,,0.963091,0.967744,9.723465,,,0.183897,17.044139,2.627581,1.951019,-2.370804
,19.049999,19.049999,19.049999,19.049999,19.049999,0,,1.427455,1.437692,9.769582,,,0.046117,16.397443,-0.737619,1.0444,-2.55197
,18.940001,18.940001,18.940001,18.940001,18.940001,0,,-0.579095,-0.577421,10.519803,,,0.750221,16.268924,0.421497,2.038217,-2.026742
,18.889999,18.889999,18.889999,18.889999,18.889999,0,,-0.264347,-0.263998,10.849308,11.670953,2.261255,0.329505,16.350782,0.527986,3.024213,-1.870204
,18.950001,18.950001,18.950001,18.950001,18.950001,0,,0.317132,0.317636,10.830544,11.640954,2.261255,-0.018764,16.669412,1.466756,3.779894,-2.565621
,19.280001,19.280001,19.280001,19.280001,19.280001,0,,1.726435,1.741424,11.575685,12.081047,2.261255,0.745141,15.672824,-0.051882,2.408517,-3.161488
,18.91,18.91,18.91,18.91,18.91,0,,-1.937745,-1.919091,13.929653,12.614374,10.082568,2.353968,13.659114,0.999748,4.498049,-0.264757
,19.02,19.02,19.02,19.02,19.02,0,,0.580021,0.581706,13.9321,12.607113,10.082568,0.002447,13.595503,2.184175,4.170486,0.262532
,18.99,18.99,18.99,18.99,18.99,0,,-0.157857,-0.157732,13.69117,12.436755,10.605074,-0.24093,13.561636,2.187588,4.831364,0.786784
,19.23,19.23,19.23,19.23,19.23,0,,1.255902,1.263822,14.032395,12.506859,10.605074,0.341225,13.881547,2.566876,5.11893,-1.308577
,19.27,19.27,19.27,19.27,19.27,0,,0.207797,0.208013,13.310093,12.492959,10.605074,-0.722303,14.03116,2.10534,5.747546,0.103737
,19.1,19.1,19.1,19.1,19.1,0,,-0.886115,-0.882201,14.024094,12.632341,9.822988,0.714001,13.827827,2.175125,5.945363,1.969992
,19.440001,19.440001,19.440001,19.440001,19.440001,0,,1.764447,1.780105,14.653027,13.025166,10.647357,0.628933,12.7618,0.410678,4.032801,-0.257539
,19.41,19.41,19.41,19.41,19.41,0,,-0.154444,-0.154325,14.738627,12.474651,10.222593,0.0856,12.759557,1.127058,4.03891,0.257264
,19.73,19.73,19.73,19.73,19.73,0,,1.635191,1.648633,15.33494,12.81595,10.222593,0.596313,11.783946,-1.99648,3.143192,-1.532202
,19.68,19.68,19.68,19.68,19.68,0,,-0.253739,-0.253417,15.347101,12.819374,9.669572,0.012161,11.708024,-2.730021,3.789088,-3.779894
,19.52,19.52,19.52,19.52,19.52,0,,-0.81633,-0.813007,15.897107,12.953359,9.144063,0.550006,11.222603,-1.392854,4.360495,-3.705099
,19.52,19.52,19.52,19.52,19.52,0,,0,0,15.906693,12.934785,9.144063,0.009586,13.088143,-0.978132,2.678951,-2.910816
,19.629999,19.629999,19.629999,19.629999,19.629999,0,,0.561936,0.563518,15.702988,12.870566,9.144063,-0.203705,13.017315,-0.818418,2.465542,-4.85354
,19.34,19.34,19.34,19.34,19.34,0,,-1.488347,-1.477326,16.802006,13.306311,10.024994,1.099018,12.310496,1.742741,2.954876,-2.831867
,19.15,19.15,19.15,19.15,19.15,0,,-0.98728,-0.982423,17.044139,13.271652,9.54192,0.242133,12.995056,3.08508,2.475627,-0.628598
,19.25,19.25,19.25,19.25,19.25,0,,0.520837,0.522195,16.397443,13.257244,9.54192,-0.646696,13.948612,2.71603,0.569805,-1.359855
,19.33,19.33,19.33,19.33,19.33,0,,0.414723,0.415584,16.268924,13.2628,10.068588,-0.128518,15.562511,2.553765,2.14952,-1.564157
,19.469999,19.469999,19.469999,19.469999,19.469999,0,,0.721649,0.72426,16.350782,13.038874,10.267897,0.081857,15.50719,2.335137,2.033631,-1.813983
,19.68,19.68,19.68,19.68,19.68,0,,1.072812,1.078588,16.669412,13.155615,10.267897,0.31863,15.08088,2.805793,1.111681,-3.043826
,19.75,19.75,19.75,19.75,19.75,0,,0.355058,0.35569,15.672824,13.130929,10.267897,-0.996587,16.22071,3.287148,-0.915573,-2.824317
,19.780001,19.780001,19.780001,19.780001,19.780001,0,,0.151787,0.151902,13.659114,13.108521,8.040874,-2.01371,16.873227,2.447062,0.202015,-2.767993
,19.83,19.83,19.83,19.83,19.83,0,,0.252458,0.252777,13.595503,12.727951,8.040874,-0.063611,17.153571,2.046489,0.853633,-2.089247
,19.93,19.93,19.93,19.93,19.93,0,,0.503021,0.504288,13.561636,12.740656,7.854617,-0.033867,17.107494,1.395134,0.7,-2.335137
,20.24,20.24,20.24,20.24,20.24,0,,1.543468,1.555441,13.881547,13.010553,7.854617,0.31991,16.808386,0.591139,-2.197893,-4.084255
,20.41,20.41,20.41,20.41,20.41,0,,0.836414,0.839921,14.03116,13.066169,7.854617,0.149613,16.497195,0.146882,-2.782094,-4.97215
,20.27,20.27,20.27,20.27,20.27,0,,-0.688299,-0.685935,13.827827,13.207479,7.804553,-0.203333,16.645846,0.590257,-3.055588,-4.748369
,20.24,20.24,20.24,20.24,20.24,0,,-0.148115,-0.148005,12.7618,13.217552,7.937723,-1.066027,16.649744,-0.943172,-3.162116,-4.445172
,20.209999,20.209999,20.209999,20.209999,20.209999,0,,-0.148335,-0.148225,12.759557,13.134895,7.953748,-0.002243,17.079633,-0.44631,-4.245197,-3.166885
,20.360001,20.360001,20.360001,20.360001,20.360001,0,,0.739474,0.742214,11.783946,13.135262,7.953748,-0.975611,20.536024,-2.184797,-8.611877,-4.367072
,20.440001,20.440001,20.440001,20.440001,20.440001,0,,0.392157,0.392927,11.708024,13.087573,8.173819,-0.075921,20.873082,-4.043483,-10.840932,-5.998273
,20.389999,20.389999,20.389999,20.389999,20.389999,0,,-0.244924,-0.244624,11.222603,12.403598,8.634843,-0.485422,24.288015,-5.183544,-7.641191,-5.49395
,20.049999,20.049999,20.049999,20.049999,20.049999,0,,-1.681544,-1.667485,13.088143,12.945184,10.14341,1.86554,24.149576,-1.507562,-5.116205,-4.071805
,20.120001,20.120001,20.120001,20.120001,20.120001,0,,0.348527,0.349135,13.017315,12.873026,10.14341,-0.070827,24.518786,-1.250329,-7.105412,-4.212751
,19.92,19.92,19.92,19.92,19.92,0,,-0.999013,-0.99404,12.310496,13.13031,9.053364,-0.70682,24.981959,-0.100454,-7.937361,-4.046652
,19.629999,19.629999,19.629999,19.629999,19.629999,0,,-1.466529,-1.455828,12.995056,13.593564,10.090153,0.684561,24.660224,-0.30612,-6.797449,-0.818418
,19.360001,19.360001,19.360001,19.360001,19.360001,0,,-1.384985,-1.375438,13.948612,13.930248,9.962613,0.953555,24.948292,2.34824,-4.166175,1.283056
,19.75,19.75,19.75,19.75,19.75,0,,1.994438,2.01446,15.562511,14.404053,9.962613,1.6139,23.57111,1.257878,-6.214479,-0.558522
,19.870001,19.870001,19.870001,19.870001,19.870001,0,,0.605761,0.607599,15.50719,14.406682,9.962613,-0.055321,23.338067,1.001505,-6.928049,-0.504544
,19.9,19.9,19.9,19.9,19.9,0,,0.150861,0.150975,15.08088,14.407706,9.962613,-0.426311,23.263997,-0.503781,-7.457196,0.601208
,19.57,19.57,19.57,19.57,19.57,0,,-1.672195,-1.658291,16.22071,14.921781,10.29543,1.139831,23.315039,1.420626,-4.654432,2.173451
,19.82,19.82,19.82,19.82,19.82,0,,1.269375,1.277466,16.873227,14.825075,10.29543,0.652517,23.074606,-0.810541,-4.96482,1.004028
,20,20,20,20,20,0,,0.904076,0.908175,17.153571,14.876584,10.29543,0.280343,23.220036,-1.96926,-4.761587,1.685712
,20.07,20.07,20.07,20.07,20.07,0,,0.349387,0.349998,17.107494,14.803753,10.29543,-0.046077,23.225821,-3.550063,-4.744579,1.532784
,19.799999,19.799999,19.799999,19.799999,19.799999,0,,-1.354425,-1.345294,16.808386,15.148696,9.930121,-0.299108,22.967783,-5.822845,-4.229613,3.669235
,19.85,19.85,19.85,19.85,19.85,0,,0.252213,0.252531,16.497195,14.850236,9.930121,-0.311191,23.831088,-7.911955,-2.861715,3.61157
