date,open,high,low,close,adjustedClose,volume,amount
2005-01-04,994.77,994.77,980.66,982.79,982.79,7412868,4431977400
2005-01-05,981.58,997.32,979.88,992.56,992.56,7119108,4529208200
2005-01-06,993.33,993.79,980.33,983.17,983.17,6288029,3921015400
2005-01-07,983.05,995.71,979.81,983.96,983.96,7298694,4737469400
2005-01-10,983.76,993.96,979.79,993.88,993.88,5791697,3762932900
2005-01-11,994.19,999.55,991.09,997.14,997.14,5849079,3704076700
2005-01-12,996.65,996.98,989.26,996.75,996.75,5014525,3093299700
2005-01-13,996.08,999.47,992.7,996.88,996.88,6044065,3842173300
2005-01-14,996.62,1006.46,987.23,988.31,988.31,7297842,4162921200
2005-01-17,979.11,981.53,965.08,967.45,967.45,7288188,4249807800
2005-01-18,967.37,974.87,960.29,974.69,974.69,7311847,4117944100
2005-01-19,974.33,974.33,965.26,967.21,967.21,6338091,3427951300
2005-01-20,963.21,963.21,952.23,956.24,956.24,7727106,4399350600
2005-01-21,954.46,984.27,943.44,982.6,982.6,14450059,8152086100
2005-01-24,1001.85,1001.85,986.24,998.13,998.13,14359461,8360161500
2005-01-25,995.64,997.95,985.24,997.78,997.78,9862529,6157022400
2005-01-26,995.78,999.47,988.48,989.93,989.93,7663290,4719440400
2005-01-27,987.34,987.7,973.77,974.63,974.63,6945364,4094398900
2005-01-28,974.63,975.62,965.21,969.21,969.21,5748807,3280950300
2005-01-31,965.79,965.79,953.14,954.88,954.88,6788706,3863573600
2005-02-01,953.33,965.48,952.74,955.95,955.95,7433066,4275706800
2005-02-02,956.7,1006.93,956.7,1006.91,1006.91,17057338,10202904300
2005-02-03,1005.56,1014.19,992.16,993.22,993.22,16974539,10057310300
2005-02-04,992.25,1021.03,989.94,1016.86,1016.86,15736214,9549870600
2005-02-16,1023.32,1033.25,1018.49,1023.58,1023.58,12131293,7438168200
2005-02-17,1024.43,1024.43,1010.48,1020.61,1020.61,8968297,5513063300
2005-02-18,1020.12,1021.2,1005.63,1006.05,1006.05,8139939,4817732100
2005-02-21,1006.69,1025.66,1006.69,1025.63,1025.63,9886094,6052394900
2005-02-22,1026.84,1048.68,1024.53,1046.74,1046.74,17937842,10922776800
2005-02-23,1046.81,1049.61,1036.63,1043.94,1043.94,18696929,11231940700
2005-02-24,1042.25,1045.96,1034.73,1045.46,1045.46,14681788,8993752200
2005-02-25,1046.27,1059.48,1045.98,1046.76,1046.76,18170003,11489961200
2005-02-28,1046.21,1048.28,1035.04,1039.99,1039.99,12971046,8190101300
2005-03-01,1039.35,1042.74,1031.17,1035.93,1035.93,9962090,6288790700
2005-03-02,1036.37,1045.76,1021,1021.32,1021.32,14225135,8971307900
2005-03-03,1019.88,1028.4,1014.75,1027.71,1027.71,9203085,5582812000
2005-03-04,1027.93,1031.85,1022.18,1023.67,1023.67,8173641,5383868100
2005-03-07,1024.48,1031.34,1024.48,1029.87,1029.87,7932949,5316473200
2005-03-08,1033.79,1049.29,1032.85,1048.99,1048.99,14295793,9851274600
2005-03-09,1051.26,1054.64,1041.98,1046.54,1046.54,15327488,9877624300
2005-03-10,1046.69,1046.69,1019.63,1022.41,1022.41,13295953,8380547700
2005-03-11,1021.08,1028.12,1016.93,1027.43,1027.43,11476381,7654557000
2005-03-14,1027.18,1041.57,1014.93,1031.03,1031.03,14466089,10229428900
2005-03-15,1030.86,1030.94,1011.64,1013.52,1013.52,12007492,8091209200
2005-03-16,1011.85,1012.2,995.97,1003.07,1003.07,10622782,7153745900
2005-03-17,1001.97,1004.82,992.12,992.86,992.86,9969011,6535061300
2005-03-18,991.89,996.4,975.71,978.66,978.66,9652059,6314991200
2005-03-21,977.3,983.18,973,981.89,981.89,7252564,4594520000
2005-03-22,981.71,982.14,959.56,964.02,964.02,11375717,6955307700
2005-03-23,962.82,975.36,955.99,959.01,959.01,10930053,7092055400
2005-03-24,957.43,965.06,948.53,964.8,964.8,9260714,6446642600
2005-03-25,964.25,966.97,959.06,962.96,962.96,7107322,4258127200
2005-03-28,961.65,961.65,948.81,960.7,960.7,6669246,4141656400
2005-03-29,960.42,968.12,954.74,955.19,955.19,7577378,4842151100
2005-03-30,952.71,952.71,936.38,937.03,937.03,8950164,5459378800
2005-03-31,934.85,942.37,928.34,942.2,942.2,7859445,4555322800
2005-04-01,941.43,989.9,937.55,978.15,978.15,16347504,10109402800
2005-04-04,968.49,974.06,956.13,962.17,962.17,11435093,7296500000
2005-04-05,960.54,967.75,953.59,955.6,955.6,9534536,6069514000
2005-04-06,955.6,977.86,948.95,973.67,973.67,14282421,9727656100
2005-04-07,975.97,1000.27,974.31,984.73,984.73,20754211,13260560600
2005-04-08,984.66,1003.7,979.53,1003.45,1003.45,14762526,9151349808
2005-04-11,1003.88,1008.73,992.77,995.42,995.42,15936066,10436232248
2005-04-12,993.71,993.71,978.2,978.7,978.7,10226193,6479563495
2005-04-13,987.95,1006.5,987.95,1000.9,1000.9,16071687,10029602129
2005-04-14,1004.64,1006.42,985.58,986.97,986.97,12945710,7813424514
2005-04-15,982.61,982.61,971.93,974.08,974.08,10408955,6541675456
2005-04-18,970.91,970.91,958.65,963.77,963.77,8598400,5329138712
2005-04-19,962.92,968.87,957.91,965.89,965.89,9212623,5768907755
2005-04-20,964.15,964.15,946.2,950.87,950.87,8850705,5300003714
2005-04-21,948.86,955.55,938.59,943.98,943.98,9946145,6140646108
2005-04-22,942.91,947.91,934.96,939.1,939.1,10691884,6373550345
2005-04-25,935.99,935.99,920.16,930.07,930.07,11470478,6667303132
2005-04-26,928.43,939.7,924.66,937.08,937.08,11690471,7029373085
2005-04-27,938.57,938.91,925.9,926.6,926.6,10780611,6432845906
2005-04-28,923.53,945.5,914.83,942.07,942.07,14343486,8315813742
2005-04-29,940.81,942.45,929.81,932.4,932.4,11235419,6853192443
2005-05-09,934.65,937.39,909.17,909.17,909.17,8529115,4889696446
2005-05-10,905.54,913.39,892.31,913.08,913.08,10494331,5960910722
2005-05-11,911.84,917.22,900.44,901.85,901.85,9042047,5128333208
2005-05-12,899.97,900.06,883.51,885.82,885.82,10228720,6107327165
2005-05-13,883.51,898.51,875.58,887.54,887.54,11244906,6228419643
2005-05-16,885.39,885.39,869.33,875.27,875.27,8224288,4630088469
2005-05-17,873.08,888.28,868.21,881.46,881.46,8772273,4635198616
2005-05-18,881.14,890.4,871.82,883.2,883.2,7878610,4615409280
2005-05-19,882.84,888.02,871.29,884.17,884.17,8149583,4263472583
2005-05-20,883.51,891.02,879.18,882.76,882.76,7226676,3835476288
2005-05-23,880.28,880.28,862.1,863.34,863.34,7279795,3725791093
2005-05-24,861.2,871.77,855.59,868.46,868.46,9206929,4777971875
2005-05-25,867.66,876.3,861.66,868.45,868.45,7238556,3742173189
2005-05-26,867.76,872.84,854.96,857.33,857.33,6622786,3470051082
2005-05-27,855.59,864.96,848.4,849.51,849.51,7749983,4240678764
2005-05-30,847.63,858.46,842.1,855.61,855.61,6971583,3712116331
2005-05-31,856.56,863.2,853.29,855.95,855.95,7047821,3601006687
2005-06-01,855.21,857.66,836.04,837.53,837.53,7902302,4274074912
